country,year,Education_Tertiary
MHL,1998,
MHL,1999,
MHL,2000,
MHL,2001,
MHL,2002,16.047630310058601
MHL,2003,
MHL,2004,
MHL,2005,
MHL,2006,
MHL,2007,
MHL,2008,
MHL,2009,
MHL,2010,
MHL,2011,
MHL,2012,29.366306027820698
MHL,2013,
MHL,2014,
MHL,2015,34.320987654321002
MHL,2016,36.660929432013802
MHL,2017,
MHL,2018,
MHL,2019,37.3626373626374
MHL,2020,
MKD,1990,17.011049270629901
MKD,1991,15.430500030517599
MKD,1992,15.9333200454712
MKD,1993,15.906629562377899
MKD,1994,16.903459548950199
MKD,1995,18.175849914550799
MKD,1996,18.3413791656494
MKD,1997,18.966619491577099
MKD,1998,19.633279800415
MKD,1999,21.361530303955099
MKD,2000,22.4084796905518
MKD,2001,24.362869262695298
MKD,2002,26.807289123535199
MKD,2003,27.822059631347699
MKD,2004,28.2504692077637
MKD,2005,29.7906494140625
MKD,2006,29.252599716186499
MKD,2007,35.243289947509801
MKD,2008,39.638851165771499
MKD,2009,39.837718963622997
MKD,2010,38.147590637207003
MKD,2011,
MKD,2012,39.796108245849602
MKD,2013,38.949901580810497
MKD,2014,39.321491241455099
MKD,2015,42.081180572509801
MKD,2016,
MKD,2017,43.509769439697301
MKD,2018,43.854789733886697
MKD,2019,43.199100494384801
MKD,2020,43.782169342041001
MLI,1990,0.61520999670028698
MLI,1991,0.59588998556137096
MLI,1992,0.75949001312255904
MLI,1993,0.87980997562408403
MLI,1994,
MLI,1995,0.90017002820968595
MLI,1996,1.00970995426178
MLI,1997,1.38881003856659
MLI,1998,1.35441994667053
MLI,1999,1.7500699758529701
MLI,2000,1.7769199609756501
MLI,2001,1.8902399539947501
MLI,2002,1.88522005081177
MLI,2003,
MLI,2004,
MLI,2005,
MLI,2006,
MLI,2007,
MLI,2008,4.79010009765625
MLI,2009,5.2962598800659197
MLI,2010,5.5058949588522701
MLI,2011,4.9689688864116901
MLI,2012,6.4186174542873804
MLI,2013,5.9412350178915503
MLI,2014,5.5350488267807902
MLI,2015,5.1275094117393198
MLI,2016,
MLI,2017,
MLI,2018,
MLI,2019,
MLI,2020,
MLT,1990,
MLT,1991,
MLT,1992,
MLT,1993,
MLT,1994,
MLT,1995,
MLT,1996,
MLT,1997,
MLT,1998,
MLT,1999,
MLT,2000,
MLT,2001,24.994949340820298
MLT,2002,24.255689620971701
MLT,2003,30.086769104003899
MLT,2004,26.623569488525401
MLT,2005,32.205360412597699
MLT,2006,31.2252807617188
MLT,2007,34.669071197509801
MLT,2008,33.321609497070298
MLT,2009,35.787868499755902
MLT,2010,36.834419250488303
MLT,2011,39.448661804199197
MLT,2012,42.547328948974602
MLT,2013,44.481391906738303
MLT,2014,45.410350799560497
MLT,2015,48.038970947265597
MLT,2016,49.217189788818402
MLT,2017,54.089019775390597
MLT,2018,57.8407592773438
MLT,2019,58.498508453369098
MLT,2020,61.476711273193402
MMR,1990,5.3570299148559597
MMR,1991,
MMR,1992,4.6560001373290998
MMR,1993,5.7301697731018102
MMR,1994,5.4682698249816903
MMR,1995,5.6351599693298304
MMR,1996,
MMR,1997,
MMR,1998,7.3606200218200701
MMR,1999,
MMR,2000,
MMR,2001,11.6847896575928
MMR,2002,
MMR,2003,
MMR,2004,
MMR,2005,
MMR,2006,
MMR,2007,11.050809860229499
MMR,2008,
MMR,2009,
MMR,2010,
MMR,2011,14.3246002197266
MMR,2012,13.7377004623413
MMR,2013,
MMR,2014,
MMR,2015,
MMR,2016,
MMR,2017,
MMR,2018,20.372329711914102
MMR,2019,
